"name","rewes","population","rewes_per_10k"
"Baden-Württemberg","426","11093335","0.38401436538245712403"
"Bayern","601","13013209","0.46183842893785844829"
"Berlin","159","3595270","0.44224773104662514915"
"Brandenburg","105","2525867","0.41569884716812088681"
"Bremen","38","692262","0.54892511794667336933"
"Hamburg","82","1808552","0.45340139514926858614"
"Hessen","460","6201895","0.74170878416999965333"
"Mecklenburg-Vorpommern","66","1564024","0.42198840938502222472"
"Niedersachsen","327","7918095","0.41297812163152879575"
"Nordrhein-Westfalen","826","17868438","0.46226760279773755266"
"Rheinland-Pfalz","186","4088634","0.45491966265505789953"
"Saarland","41","1006142","0.40749715248941004351"
"Sachsen","109","4029125","0.27053020196692830329"
"Sachsen-Anhalt","54","2141681","0.25213839035785441436"
"Schleswig-Holstein","156","2917024","0.53479162324341520673"
"Thüringen","114","2106271","0.54124089445280308184"
